1,DXB,FRA,2026-03-22 20:42:51.675538,2026-03-22 23:42:51.675538,cancelled
2,LHR,DXB,2026-03-11 20:42:51.675644,2026-03-12 01:42:51.675644,delayed
3,LHR,CDG,2026-02-16 20:42:51.675688,2026-02-16 23:42:51.675688,scheduled
4,FRA,CDG,2026-03-14 20:42:51.675718,2026-03-15 04:42:51.675718,cancelled
5,FRA,LHR,2026-03-01 20:42:51.675743,2026-03-02 04:42:51.675743,cancelled
6,CDG,CDG,2026-02-01 20:42:51.675761,2026-02-01 21:42:51.675761,scheduled
7,FRA,LHR,2026-02-25 20:42:51.675777,2026-02-26 04:42:51.675777,cancelled
8,DXB,JFK,2026-03-24 20:42:51.675796,2026-03-25 03:42:51.675796,delayed
9,FRA,FRA,2026-03-09 20:42:51.675816,2026-03-10 05:42:51.675816,scheduled
10,CDG,CDG,2026-03-10 20:42:51.675831,2026-03-11 03:42:51.675831,delayed
11,LHR,JFK,2026-03-13 20:42:51.675848,2026-03-14 04:42:51.675848,delayed
12,FRA,CDG,2026-03-12 20:42:51.675867,2026-03-13 06:42:51.675867,scheduled
13,LHR,CDG,2026-03-18 20:42:51.675894,2026-03-19 02:42:51.675894,delayed
14,DXB,JFK,2026-02-06 20:42:51.675916,2026-02-07 05:42:51.675916,cancelled
15,DXB,JFK,2026-02-28 20:42:51.675947,2026-03-01 03:42:51.675947,cancelled
16,JFK,JFK,2026-02-11 20:42:51.675970,2026-02-12 00:42:51.675970,scheduled
17,DXB,JFK,2026-03-12 20:42:51.675992,2026-03-13 01:42:51.675992,cancelled
18,FRA,CDG,2026-02-03 20:42:51.676016,2026-02-03 21:42:51.676016,scheduled
19,DXB,CDG,2026-02-22 20:42:51.676036,2026-02-23 04:42:51.676036,delayed
20,DXB,JFK,2026-02-17 20:42:51.676056,2026-02-17 23:42:51.676056,scheduled
21,CDG,DXB,2026-03-11 20:42:51.676076,2026-03-12 05:42:51.676076,scheduled
22,CDG,CDG,2026-02-12 20:42:51.676105,2026-02-13 01:42:51.676105,cancelled
23,CDG,CDG,2026-02-16 20:42:51.676128,2026-02-17 05:42:51.676128,cancelled
24,DXB,JFK,2026-03-23 20:42:51.676150,2026-03-24 01:42:51.676150,cancelled
25,CDG,CDG,2026-01-29 20:42:51.676175,2026-01-30 05:42:51.676175,delayed
26,CDG,JFK,2026-02-10 20:42:51.676201,2026-02-11 01:42:51.676201,scheduled
27,DXB,DXB,2026-03-24 20:42:51.676221,2026-03-24 23:42:51.676221,delayed
28,FRA,CDG,2026-03-28 20:42:51.676235,2026-03-29 02:42:51.676235,scheduled
29,LHR,DXB,2026-02-12 20:42:51.676287,2026-02-13 01:42:51.676287,delayed
30,CDG,FRA,2026-03-04 20:42:51.676309,2026-03-05 02:42:51.676309,scheduled
31,DXB,FRA,2026-02-08 20:42:51.676324,2026-02-09 06:42:51.676324,scheduled
32,FRA,JFK,2026-02-02 20:42:51.676339,2026-02-03 05:42:51.676339,cancelled
33,DXB,FRA,2026-03-14 20:42:51.676360,2026-03-15 03:42:51.676360,delayed
34,JFK,LHR,2026-01-31 20:42:51.676386,2026-02-01 01:42:51.676386,cancelled
35,CDG,CDG,2026-03-04 20:42:51.676408,2026-03-05 00:42:51.676408,cancelled
36,FRA,DXB,2026-02-07 20:42:51.676429,2026-02-08 04:42:51.676429,cancelled
37,JFK,JFK,2026-03-11 20:42:51.676453,2026-03-11 22:42:51.676453,cancelled
38,DXB,FRA,2026-02-10 20:42:51.676473,2026-02-11 05:42:51.676473,scheduled
39,JFK,CDG,2026-03-28 20:42:51.676495,2026-03-29 05:42:51.676495,cancelled
40,JFK,LHR,2026-03-14 20:42:51.676523,2026-03-14 22:42:51.676523,scheduled
41,FRA,LHR,2026-03-07 20:42:51.676549,2026-03-07 21:42:51.676549,cancelled
42,LHR,JFK,2026-03-02 20:42:51.676574,2026-03-03 01:42:51.676574,delayed
43,JFK,CDG,2026-03-20 20:42:51.676592,2026-03-21 01:42:51.676592,scheduled
44,LHR,CDG,2026-02-25 20:42:51.676607,2026-02-26 00:42:51.676607,cancelled
45,DXB,FRA,2026-02-09 20:42:51.676633,2026-02-09 21:42:51.676633,delayed
46,LHR,DXB,2026-02-24 20:42:51.676660,2026-02-24 18:42:51.676660,cancelled
47,DXB,JFK,2026-03-26 20:42:51.676683,2026-03-27 01:42:51.676683,cancelled
48,LHR,JFK,2026-03-01 20:42:51.676705,2026-03-02 04:42:51.676705,scheduled
49,CDG,LHR,2026-02-17 20:42:51.676726,2026-02-18 06:42:51.676726,cancelled
50,JFK,DXB,2026-02-20 20:42:51.676748,2026-02-21 05:42:51.676748,scheduled
51,LHR,FRA,2026-03-01 20:42:51.676769,2026-03-02 01:42:51.676769,delayed
52,FRA,JFK,2026-03-01 20:42:51.676790,2026-03-02 01:42:51.676790,delayed
53,DXB,LHR,2026-02-28 20:42:51.676811,2026-02-28 21:42:51.676811,scheduled
54,JFK,LHR,2026-03-20 20:42:51.676833,2026-03-21 01:42:51.676833,scheduled
55,LHR,LHR,2026-03-13 20:42:51.676856,2026-03-14 05:42:51.676856,delayed
56,LHR,JFK,2026-02-07 20:42:51.676877,2026-02-07 21:42:51.676877,scheduled
57,CDG,DXB,2026-03-03 20:42:51.676900,2026-03-04 01:42:51.676900,cancelled
58,DXB,FRA,2026-03-29 20:42:51.676922,2026-03-29 22:42:51.676922,delayed
59,JFK,LHR,2026-02-20 20:42:51.676944,2026-02-20 22:42:51.676944,delayed
60,DXB,FRA,2026-03-27 20:42:51.676965,2026-03-28 01:42:51.676965,cancelled
61,DXB,JFK,2026-03-14 20:42:51.676988,2026-03-15 06:42:51.676988,delayed
62,DXB,LHR,2026-02-15 20:42:51.677014,2026-02-16 00:42:51.677014,scheduled
63,JFK,FRA,2026-03-09 20:42:51.677036,2026-03-10 03:42:51.677036,delayed
64,DXB,CDG,2026-03-30 20:42:51.677057,2026-03-31 03:42:51.677057,delayed
65,CDG,LHR,2026-02-20 20:42:51.677079,2026-02-20 23:42:51.677079,cancelled
66,LHR,LHR,2026-02-20 20:42:51.677104,2026-02-21 02:42:51.677104,delayed
67,CDG,CDG,2026-03-02 20:42:51.677126,2026-03-03 06:42:51.677126,delayed
68,DXB,JFK,2026-02-25 20:42:51.677147,2026-02-25 22:42:51.677147,delayed
69,JFK,JFK,2026-02-16 20:42:51.677169,2026-02-17 05:42:51.677169,delayed
70,LHR,JFK,2026-02-19 20:42:51.677190,2026-02-19 23:42:51.677190,scheduled
71,CDG,LHR,2026-01-29 20:42:51.677212,2026-01-29 23:42:51.677212,scheduled
72,FRA,DXB,2026-02-24 20:42:51.677233,2026-02-25 04:42:51.677233,delayed
73,JFK,DXB,2026-02-08 20:42:51.677255,2026-02-08 21:42:51.677255,scheduled
74,LHR,FRA,2026-03-03 20:42:51.677276,2026-03-04 00:42:51.677276,delayed
75,CDG,CDG,2026-03-08 20:42:51.677298,2026-03-09 00:42:51.677298,cancelled
76,JFK,DXB,2026-02-10 20:42:51.677319,2026-02-11 03:42:51.677319,cancelled
77,JFK,CDG,2026-02-12 20:42:51.677351,2026-02-12 21:42:51.677351,delayed
78,LHR,CDG,2026-02-16 20:42:51.677371,2026-02-17 05:42:51.677371,scheduled
79,CDG,FRA,2026-03-29 20:42:51.677400,2026-03-29 21:42:51.677400,delayed
80,LHR,FRA,2026-03-18 20:42:51.677425,2026-03-18 21:42:51.677425,scheduled
81,LHR,JFK,2026-03-10 20:42:51.677446,2026-03-11 03:42:51.677446,scheduled
82,FRA,JFK,2026-02-08 20:42:51.677467,2026-02-09 06:42:51.677467,cancelled
83,JFK,LHR,2026-03-16 20:42:51.677489,2026-03-17 00:42:51.677489,cancelled
84,CDG,DXB,2026-03-19 20:42:51.677511,2026-03-20 03:42:51.677511,cancelled
85,FRA,DXB,2026-03-01 20:42:51.677533,2026-03-02 06:42:51.677533,scheduled
86,JFK,FRA,2026-03-28 20:42:51.677554,2026-03-28 22:42:51.677554,scheduled
87,JFK,CDG,2026-03-25 20:42:51.677601,2026-03-25 23:42:51.677601,cancelled
88,JFK,LHR,2026-02-22 20:42:51.677626,2026-02-23 03:42:51.677626,cancelled
89,JFK,JFK,2026-02-11 20:42:51.677649,2026-02-12 02:42:51.677649,scheduled
90,FRA,FRA,2026-03-17 20:42:51.677676,2026-03-18 02:42:51.677676,delayed
91,JFK,FRA,2026-03-24 20:42:51.677700,2026-03-24 22:42:51.677700,cancelled
92,CDG,LHR,2026-03-20 20:42:51.677722,2026-03-21 01:42:51.677722,cancelled
